Atka I.,	52°07'N	174°30'W
Atkinson	42°32'N	98°59'W
Atlanta, Ga.,	33°45'N	84°23'W
Atlanta, Tex.,	33°07'N	94°10'W
Atlantic	41°24'N	95°01'W
Atlantic City	39°21'N	74°27'W
Atmore	31°02'N	87°29'W
Atoka	34°23'N	96°08'W
Atolia	34°19'N	117°37'W
Attalla	34°01'N	86°06'W
Attica, Ind.,	40°18'N	87°15'W
Attica, Ohio	41°04'N	82°53'W
Attleboro	41°57'N	71°17'W
Attu I.,	52°55'N	172°55'E
Atwater	37°21'N	120°37'W
Atwood	39°48'N	101°03'W
Au Sable	44°25'N	83°20'W
Au Sable	44°25'N	83°20'W
Au Sable Forks	44°27'N	73°41'W
Au Sable Pt.,	44°20'N	88°70'W
Auberry	37°07'N	119°29'W
Auburn, Ala.,	32°36'N	85°29'W
Auburn, Calif.,	38°54'N	121°04'W
Auburn, Ind.,	41°22'N	85°04'W
Auburn, Maine	44°06'N	70°14'W
Auburn, N.Y.,	42°56'N	76°34'W
Auburn, Nebr.,	40°23'N	95°51'W
Auburn, Pa.,	40°36'N	76°06'W
Auburn, Wash.,	47°18'N	122°14'W
Auburndale	28°04'N	81°48'W
Audubon	41°43'N	94°56'W
Augusta, Ark.,	35°17'N	91°22'W
Augusta, Ga.,	33°28'N	81°58'W
Augusta, Kans.,	37°41'N	96°59'W
Augusta, Maine	44°19'N	69°47'W
Augusta, Mont.,	47°30'N	112°24'W
Aukum	38°34'N	120°43'W
Ault	40°35'N	104°44'W
Aurora, Colo.,	39°44'N	104°52'W
Aurora, III.,	41°45'N	88°19'W
Aurora, Mo.,	36°58'N	93°43'W
Aurora, N. Y.,	42°45'N	76°42'W
Aurora, Nebr.,	40°52'N	98°00'W
Aurora, Ohio	41°21'N	81°20'W
Austin. Minn.,	43°40'N	92°58'W
Austin, Nev.,	39°30'N	117°04'W
Austin, Pa.,	41°38'N	78°06'W
Austin, Tex.,	30°17'N	97°45'W
Ava	36°57'N	92°40'W
Avalon	33°21'N	118°20'W
Avawatz Mts.,	35°40'N	116°30'W
Avenal	36°00'N	120°08'W
Avery	47°15'N	115°49'W
Avila Beach	35°11'N	120°44'W
Avis	41°11'N	77°19'W
Avoca	42°25'N	77°25'W
Avon	42°55'N	77°45'W
Avon Park	27°36'N	81°31'W
Ayer	42°34'N	71°35'W
Aztec	36°49'N	107°59'W
Azusa	34°08'N	117°52'W
Babb	48°51'N	113°27'W
Bad	44°21'N	100°22'W
Bad Axe	43°48'N	83°00'W
Bad Lands	43°40'N	102°10'W
Baden	40°38'N	80°14'W
Badger	36°38'N	119°01'W
Badlands Nat. Park	43°38'N	102°56'W
Bagdad	34°35'N	115°53'W
Baggs	41°02'N	107°39'W
Bagley	47°32'N	95°24'W
Bainbridge, Ga.,	30°55'N	84°35'W
Bainbridge, N.Y.,	42°18'N	75°29'W
Baker, Calif.,	35°16'N	116°04'W
Baker, Mont.,	46°22'N	104°17'W
Baker City	44°47'N	117°50'W
Baker I.,	55°20'N	133°40'W
Baker Mt.,	48°50'N	121°49'W
Bakersfield, Calif.,	35°23'N	119°01'W
Bakersfield, Vt.,	44°45'N	72°48'W
Balcones Escarpment	29°30'N	99°15'W
Bald Knob	35°19'N	91°34'W
Balwin, Mich.,	43°54'N	85°51'W
Baldwin, Pa.,	40°23'N	79°59'W
Baldwinsville	43°10'N	76°20'W
Baldy Mt.,	48°09'N	109°39'W
Baldy Peak	33°54'N	109°34'W
Ballinger	31°45'N	99°57'W
Ballston Spa	43°00'N	73°51'W
Balmorhea	30°59'N	103°45'W
Balston Spa	43°00'N	73°52'W
Baltimore, Md.,	39°17'N	76°37'W
Baltimore, Ohio	39°51'N	82°36'W
Bamberg	33°18'N	81°02'W
Bangor, Maine	44°48'N	68°46'W
Bangor, Pa.	40°52'N	75°13'W
Banning	33°56'N	116°53'W
Bar Harbor	44°23'N	68°13'W
Baraboo	43°28'N	89°45'W
Baraga	46°47'N	88°30'W
Baranof	57°05'N	134°50'W
Baranof I.	57°00'N	135°00'W
Barataria B.	29°20'N	89°55'W
Barberton	41°00'N	81°39'W
Barbourville	36°52'N	83°53'W
Bardstown	37°49'N	85°28'W
Barker	43°20'N	78°33'W
Barkley, L.	37°01'N	88°14'W
Barneville	33°03'N	84°09'W
Barneveld	43°16'N	75°14'W
Barnhart	31°08'N	101°10'W
Barnsville	46°43'N	96°28'W
Barnwell	33°15'N	81°23'W
Barques, Pt. Aux	44°04'N	82°58'W
Barre, Mass.	42°25'N	72°06'W
Barre, Vt.	44°12'N	72°30'W
Barrington	41°44'N	71°18'W
Barron	45°24'N	91°51'W
Barro'W	71°18'N	156°47'W
Barrow Pt.	71°10'N	156°20'W
Barstow	34°54'N	117°01'W
Bartlesville	36°45'N	95°59'W
Bartlett	36°29'N	118°02'W
Barton	44°45'N	72°11'W
Barto'W	27°54'N	81°50'W
Basin	44°23'N	108°02'W
Bassett	42°35'N	99°32'W
Bastrop, La.	32°47'N	91°55'W
Bastrop, Tex.	30°07'N	97°19'W
Batavia	43°00'N	78°11'W
Batesburg-Leesville	33°54'N	81°33'W
Batesville, Ark.	35°46'N	91°39'W
Batesville, Miss.	34°19'N	89°57'W
Batesville, Tax.	28°58'N	99°37'W
Bath, Maine	43°55'N	69°49'W
Bath, N.Y.	42°20'N	77°19'W
Baton Rouge	30°27'N	91°11'W
Battle Creek	42°19'N	85°11'W
